Episode,AvgReward,WinRate,Epsilon
500,-18.37,40.6,0.9805
1000,-16.25,41.8,0.9614
1500,-9.32,43.6,0.9424
2000,-11.66,43.0,0.9239
2500,-9.05,42.2,0.9058
3000,0.01,46.0,0.8880
3500,2.51,46.2,0.8703
4000,11.20,49.2,0.8529
4500,7.33,47.2,0.8360
5000,2.79,45.6,0.8196
5500,8.80,47.2,0.8033
6000,18.67,50.8,0.7872
6500,15.07,48.4,0.7716
7000,21.13,50.6,0.7562
7500,25.36,51.4,0.7409
8000,29.96,53.4,0.7261
8500,32.86,53.8,0.7115
9000,29.81,52.6,0.6972
9500,36.61,55.2,0.6830
10000,42.28,56.2,0.6692
10500,40.38,55.6,0.6557
11000,42.48,55.8,0.6424
11500,52.72,59.2,0.6293
12000,54.58,59.4,0.6164
12500,58.57,60.6,0.6037
13000,49.48,57.4,0.5913
13500,50.66,58.0,0.5793
14000,51.62,58.0,0.5674
14500,55.42,59.0,0.5558
15000,55.15,58.6,0.5445
15500,62.40,60.4,0.5333
16000,53.90,58.2,0.5224
16500,73.34,64.6,0.5116
17000,53.79,57.8,0.5012
17500,74.76,64.6,0.4908
18000,66.61,61.2,0.4807
18500,68.98,62.4,0.4707
19000,67.40,61.6,0.4611
19500,72.62,63.0,0.4515
20000,84.63,66.6,0.4421
20500,79.29,65.2,0.4329
21000,61.18,58.8,0.4240
21500,77.22,64.4,0.4152
22000,85.76,66.6,0.4065
22500,84.29,66.0,0.3980
23000,86.71,66.6,0.3897
23500,89.93,68.2,0.3816
24000,75.98,62.4,0.3737
24500,83.05,65.0,0.3659
25000,79.56,64.0,0.3583
25500,76.48,62.8,0.3509
26000,88.94,66.6,0.3436
26500,81.33,64.6,0.3365
27000,87.51,66.0,0.3294
27500,87.76,66.8,0.3226
28000,89.47,66.0,0.3158
28500,84.52,64.8,0.3093
29000,94.47,67.6,0.3028
29500,86.24,64.8,0.2965
30000,98.59,69.0,0.2903
30500,92.43,66.6,0.2842
31000,95.59,68.2,0.2782
31500,94.99,67.2,0.2724
32000,96.38,67.8,0.2667
32500,102.28,70.0,0.2611
33000,100.27,69.0,0.2556
33500,97.78,67.8,0.2503
34000,104.85,70.2,0.2450
34500,99.94,68.8,0.2399
35000,95.27,67.0,0.2348
35500,104.72,69.8,0.2299
36000,110.75,71.6,0.2251
36500,105.86,70.0,0.2203
37000,108.83,70.6,0.2157
37500,99.70,67.8,0.2111
38000,106.16,69.8,0.2067
38500,101.73,68.8,0.2024
39000,111.05,70.8,0.1981
39500,102.77,68.8,0.1939
40000,102.92,68.6,0.1899
40500,120.36,74.8,0.1858
41000,106.39,69.8,0.1819
41500,112.67,71.2,0.1781
42000,114.69,71.8,0.1743
42500,111.31,70.4,0.1707
43000,113.27,72.0,0.1671
43500,118.14,72.6,0.1635
44000,102.68,67.8,0.1601
44500,99.30,67.2,0.1567
45000,110.17,70.4,0.1534
45500,117.51,72.8,0.1502
46000,110.99,70.4,0.1470
46500,113.08,70.4,0.1439
47000,123.11,73.4,0.1409
47500,108.11,69.6,0.1379
48000,113.03,70.2,0.1350
48500,120.04,72.6,0.1322
49000,120.10,73.2,0.1294
49500,118.32,72.4,0.1266
50000,114.32,70.6,0.1240
50500,131.84,76.6,0.1213
51000,113.98,70.8,0.1188
51500,119.62,72.4,0.1162
52000,119.27,72.4,0.1138
52500,130.67,76.0,0.1114
53000,112.50,70.4,0.1090
53500,118.42,71.8,0.1067
54000,116.87,71.4,0.1045
54500,106.89,68.0,0.1023
55000,112.26,70.0,0.1001
55500,121.10,72.4,0.0980
56000,125.67,74.4,0.0959
56500,121.69,72.8,0.0939
57000,135.31,76.6,0.0919
57500,118.95,72.2,0.0899
58000,125.54,73.8,0.0880
58500,113.28,69.8,0.0862
59000,124.72,74.2,0.0844
59500,130.44,75.8,0.0826
60000,121.53,72.8,0.0808
60500,118.48,71.6,0.0791
61000,119.99,72.2,0.0774
61500,134.87,76.8,0.0758
62000,123.26,72.8,0.0742
62500,117.88,71.0,0.0726
63000,128.75,75.0,0.0711
63500,115.63,70.6,0.0696
64000,120.79,72.0,0.0681
64500,127.45,74.4,0.0666
65000,133.74,76.2,0.0652
65500,118.07,71.2,0.0639
66000,127.59,74.0,0.0625
66500,123.21,72.8,0.0612
67000,126.14,73.6,0.0599
67500,122.98,72.8,0.0586
68000,118.87,71.0,0.0574
68500,129.63,74.6,0.0562
69000,118.72,71.0,0.0550
69500,125.66,73.2,0.0538
70000,126.39,73.2,0.0527
70500,116.71,70.4,0.0515
71000,124.68,72.8,0.0505
71500,130.01,74.8,0.0494
72000,128.92,74.2,0.0483
72500,126.64,73.8,0.0473
73000,118.34,70.2,0.0463
73500,126.25,73.4,0.0453
74000,128.85,74.4,0.0444
74500,128.27,74.0,0.0434
75000,126.14,73.8,0.0425
75500,130.31,74.2,0.0416
76000,138.50,77.4,0.0407
76500,123.63,72.6,0.0398
77000,127.38,72.8,0.0390
77500,130.78,74.4,0.0382
78000,125.72,72.8,0.0374
78500,116.28,69.6,0.0366
79000,122.93,71.8,0.0358
79500,126.90,73.2,0.0350
80000,129.90,74.8,0.0343
80500,119.77,70.6,0.0336
81000,136.74,76.8,0.0329
81500,131.38,74.6,0.0322
82000,132.34,74.8,0.0315
82500,115.03,69.6,0.0308
83000,126.28,73.6,0.0302
83500,127.65,73.6,0.0295
84000,133.59,75.6,0.0289
84500,130.75,74.6,0.0283
85000,129.68,74.6,0.0277
85500,132.11,75.0,0.0271
86000,124.70,72.4,0.0265
86500,129.00,74.2,0.0260
87000,130.11,74.2,0.0254
87500,123.90,71.8,0.0249
88000,122.13,71.4,0.0243
88500,131.10,74.2,0.0238
89000,125.97,73.2,0.0233
89500,130.11,74.2,0.0228
90000,145.79,79.4,0.0223
90500,121.66,71.2,0.0219
91000,141.25,78.0,0.0214
91500,135.46,76.0,0.0209
92000,129.76,74.0,0.0205
92500,128.12,73.2,0.0201
93000,134.50,75.6,0.0196
93500,129.24,73.6,0.0192
94000,138.62,76.8,0.0188
94500,127.18,73.8,0.0184
95000,131.59,74.4,0.0180
95500,133.44,75.2,0.0176
96000,126.81,72.8,0.0173
96500,150.37,80.2,0.0169
97000,134.90,75.4,0.0165
97500,123.42,72.0,0.0162
98000,122.99,71.2,0.0158
98500,127.07,72.4,0.0155
99000,140.51,77.6,0.0152
99500,139.24,76.8,0.0149
100000,138.34,76.6,0.0145
100500,128.12,73.4,0.0142
101000,124.43,71.8,0.0139
101500,132.48,74.8,0.0136
102000,130.73,73.8,0.0133
102500,138.15,76.4,0.0131
103000,132.52,74.8,0.0128
103500,135.15,75.4,0.0125
104000,127.16,73.2,0.0122
104500,133.48,74.6,0.0120
105000,131.81,75.0,0.0117
105500,123.93,71.6,0.0115
106000,129.67,73.0,0.0112
106500,116.50,69.0,0.0110
107000,134.82,75.6,0.0108
107500,129.28,73.6,0.0105
108000,131.11,74.4,0.0103
108500,127.66,73.4,0.0101
109000,136.77,76.0,0.0099
109500,130.47,74.0,0.0097
110000,137.48,76.6,0.0095
110500,132.73,74.6,0.0093
111000,133.45,75.0,0.0091
111500,131.22,74.4,0.0089
112000,133.08,75.0,0.0087
112500,131.10,73.8,0.0085
113000,138.55,76.4,0.0083
113500,132.65,74.4,0.0081
114000,134.64,75.6,0.0080
114500,134.96,75.2,0.0078
115000,131.13,73.8,0.0076
115500,139.04,76.8,0.0075
116000,137.75,76.2,0.0073
116500,125.03,72.4,0.0072
117000,141.09,77.8,0.0070
117500,119.28,70.4,0.0069
118000,132.85,74.6,0.0067
118500,120.51,70.2,0.0066
119000,122.29,71.2,0.0064
119500,132.49,74.8,0.0063
120000,130.70,73.8,0.0062
120500,134.54,75.2,0.0060
121000,129.71,74.4,0.0059
121500,136.03,75.6,0.0058
122000,139.00,76.4,0.0057
122500,133.68,75.0,0.0055
123000,126.50,72.8,0.0054
123500,132.42,74.4,0.0053
124000,138.53,76.8,0.0052
124500,130.00,74.0,0.0051
125000,133.25,74.8,0.0050
125500,133.50,74.2,0.0050
126000,139.83,77.0,0.0050
126500,133.43,74.8,0.0050
127000,139.32,76.6,0.0050
127500,136.50,76.4,0.0050
128000,134.92,75.4,0.0050
128500,136.13,76.0,0.0050
129000,132.05,74.0,0.0050
129500,129.00,73.2,0.0050
130000,135.71,75.6,0.0050
130500,133.79,75.0,0.0050
131000,133.75,75.2,0.0050
131500,124.55,71.6,0.0050
132000,135.66,76.0,0.0050
132500,128.39,73.4,0.0050
133000,133.77,74.8,0.0050
133500,125.71,72.6,0.0050
134000,134.60,75.4,0.0050
134500,131.03,73.8,0.0050
135000,141.07,77.2,0.0050
135500,141.29,77.4,0.0050
136000,127.66,72.8,0.0050
136500,130.76,74.4,0.0050
137000,129.49,73.4,0.0050
137500,132.87,74.4,0.0050
138000,139.34,76.6,0.0050
138500,135.33,75.2,0.0050
139000,138.65,76.8,0.0050
139500,139.94,77.2,0.0050
140000,135.80,75.6,0.0050
140500,143.66,78.4,0.0050
141000,129.46,73.4,0.0050
141500,132.67,74.6,0.0050
142000,135.58,75.4,0.0050
142500,130.19,73.6,0.0050
143000,128.38,73.4,0.0050
143500,127.74,72.4,0.0050
144000,141.19,77.4,0.0050
144500,143.73,78.2,0.0050
145000,141.44,77.4,0.0050
145500,135.53,75.8,0.0050
146000,142.26,77.8,0.0050
146500,131.32,73.8,0.0050
147000,125.55,71.6,0.0050
147500,140.12,77.2,0.0050
148000,130.56,73.8,0.0050
148500,135.28,75.6,0.0050
149000,134.71,75.2,0.0050
149500,130.51,74.2,0.0050
150000,136.92,75.8,0.0050
150500,129.29,73.2,0.0050
151000,132.41,74.0,0.0050
151500,129.80,73.6,0.0050
152000,140.64,77.2,0.0050
152500,128.34,72.8,0.0050
153000,144.14,78.4,0.0050
153500,121.68,70.6,0.0050
154000,133.91,74.8,0.0050
154500,131.45,74.6,0.0050
155000,143.89,78.2,0.0050
155500,133.61,74.6,0.0050
156000,141.80,78.0,0.0050
156500,127.60,72.8,0.0050
157000,144.32,78.2,0.0050
157500,123.61,71.8,0.0050
158000,125.69,72.8,0.0050
158500,135.73,76.0,0.0050
159000,127.70,73.4,0.0050
159500,129.25,73.6,0.0050
160000,137.59,76.2,0.0050
160500,136.04,75.8,0.0050
161000,122.80,71.4,0.0050
161500,132.70,74.4,0.0050
162000,129.27,73.6,0.0050
162500,128.02,73.4,0.0050
163000,133.42,74.8,0.0050
163500,134.00,74.4,0.0050
164000,133.67,74.8,0.0050
164500,122.64,71.0,0.0050
165000,132.19,74.6,0.0050
165500,134.50,75.6,0.0050
166000,133.28,75.0,0.0050
166500,130.73,74.4,0.0050
167000,138.19,76.6,0.0050
167500,136.13,75.8,0.0050
168000,132.54,74.6,0.0050
168500,135.16,75.4,0.0050
169000,132.50,74.4,0.0050
169500,138.62,77.2,0.0050
170000,133.49,74.8,0.0050
170500,140.42,77.2,0.0050
171000,127.99,73.2,0.0050
171500,133.75,74.8,0.0050
172000,136.55,75.8,0.0050
172500,144.13,78.6,0.0050
173000,137.40,76.0,0.0050
173500,127.04,72.4,0.0050
174000,121.21,70.2,0.0050
174500,147.20,79.4,0.0050
175000,138.04,76.4,0.0050
175500,136.02,76.2,0.0050
176000,136.89,76.0,0.0050
176500,128.39,73.0,0.0050
177000,128.54,73.0,0.0050
177500,126.49,72.6,0.0050
178000,133.59,75.0,0.0050
178500,128.37,73.0,0.0050
179000,136.08,76.2,0.0050
179500,134.69,75.4,0.0050
180000,138.00,76.2,0.0050
180500,145.29,78.6,0.0050
181000,133.73,74.8,0.0050
181500,137.18,76.2,0.0050
182000,127.01,72.8,0.0050
182500,134.52,75.4,0.0050
183000,139.28,76.8,0.0050
183500,129.69,74.0,0.0050
184000,136.27,75.6,0.0050
184500,132.87,75.0,0.0050
185000,133.42,74.8,0.0050
185500,129.00,73.4,0.0050
186000,137.41,76.0,0.0050
186500,123.74,71.4,0.0050
187000,136.85,76.4,0.0050
187500,132.92,75.0,0.0050
188000,137.41,76.4,0.0050
188500,125.22,72.4,0.0050
189000,125.70,71.8,0.0050
189500,129.21,73.0,0.0050
190000,135.18,75.4,0.0050
190500,131.39,74.4,0.0050
191000,141.81,77.2,0.0050
191500,139.95,77.0,0.0050
192000,134.47,75.4,0.0050
192500,128.88,73.0,0.0050
193000,130.72,74.4,0.0050
193500,136.73,75.4,0.0050
194000,135.54,75.2,0.0050
194500,135.24,75.4,0.0050
195000,137.12,75.4,0.0050
195500,132.77,74.6,0.0050
196000,136.44,76.2,0.0050
196500,131.34,74.4,0.0050
197000,131.81,74.2,0.0050
197500,125.29,72.2,0.0050
198000,140.82,77.0,0.0050
198500,135.01,75.4,0.0050
199000,139.00,76.4,0.0050
199500,137.02,76.2,0.0050
200000,128.27,72.8,0.0050
500,-6.07,44.8,0.9803
1000,-12.49,42.0,0.9611
1500,0.25,46.6,0.9422
